movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
Aquamarine,PG,"Comedy, Drama, Kids & Family, Science Fiction & Fantasy",2006-03-03,2006-06-13,103,Rotten,51,88,Upright,61,296529,32,45,43
Dave Chappelle's Block Party,R,"Comedy, Documentary, Musical & Performing Arts",2006-03-03,2006-06-13,105,Certified Fresh,92,125,Upright,74,96699,38,115,10
Joyeux Noël (Merry Christmas),PG-13,"Art House & International, Drama, Romance",2006-03-03,2006-11-14,116,Certified Fresh,74,111,Upright,89,45803,39,82,29
Evil (Ondskan),G,"Art House & International, Drama",2006-03-10,2006-06-27,114,Fresh,68,38,Upright,87,11128,15,26,12
Ask the Dust,R,"Documentary, Drama",2006-03-10,2006-07-25,40,Rotten,35,103,Spilled,41,42281,39,36,67
Failure to Launch,PG-13,"Comedy, Drama, Romance",2006-03-10,2006-06-27,96,Rotten,24,150,Spilled,52,438380,41,36,114
The Hills Have Eyes,R,"Drama, Horror, Mystery & Suspense",2006-03-10,2008-03-04,95,Rotten,52,141,Spilled,58,392504,35,73,68
The Libertine,R,Drama,2006-03-10,2006-07-04,114,Rotten,33,122,Spilled,58,70893,37,40,82
The Shaggy Dog,PG,"Action & Adventure, Comedy, Kids & Family",2006-03-10,2006-08-01,98,Rotten,26,103,Spilled,39,185072,34,27,76
Don't Come Knocking,R,"Art House & International, Comedy, Drama",2006-03-17,2006-08-08,122,Rotten,43,101,Upright,60,24125,35,43,58
Don't Trip...He Ain't Through with Me Yet,PG,"Comedy, Musical & Performing Arts",2006-03-17,2006-05-02,90,Rotten,45,11,Upright,74,18926,5,5,6
Find Me Guilty,R,"Comedy, Drama",2006-03-17,2006-06-27,124,Fresh,62,104,Upright,62,58885,37,64,40
She's the Man,PG-13,"Comedy, Romance",2006-03-17,2006-07-18,105,Rotten,44,112,Upright,79,607559,35,49,63
V for Vendetta,R,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",2006-03-17,2006-08-01,145,Certified Fresh,72,247,Upright,90,903721,50,179,68
The Lives of Others,R,"Art House & International, Drama",2006-03-23,2007-08-21,138,Certified Fresh,93,160,Upright,96,121571,54,148,12
Stay Alive,PG-13,"Horror, Mystery & Suspense",2006-03-24,2006-09-19,86,Rotten,9,58,Spilled,55,113399,19,5,53
Duck Season (Temporada de patos),R,"Art House & International, Comedy",2006-03-24,2006-08-29,87,Certified Fresh,90,73,Upright,78,21845,28,66,7
Inside Man,R,"Action & Adventure, Drama, Mystery & Suspense",2006-03-24,2006-08-08,129,Certified Fresh,86,203,Upright,85,351339,49,175,28
Larry the Cable Guy: Health Inspector,PG-13,Comedy,2006-03-24,2006-08-08,89,Rotten,5,38,Spilled,52,49397,15,2,36
L'Enfant,R,"Art House & International, Drama",2006-03-24,2006-08-15,95,Certified Fresh,85,111,Upright,72,32639,37,94,17
Lonesome Jim,R,"Comedy, Drama",2006-03-24,2006-08-09,91,Fresh,60,89,Spilled,57,22367,30,53,36
The Devil and Daniel Johnston,PG-13,"Documentary, Musical & Performing Arts",2006-03-31,2006-09-19,109,Certified Fresh,89,111,Upright,91,25426,36,99,12
ATL,PG-13,"Comedy, Drama",2006-03-31,2006-07-18,105,Fresh,61,85,Upright,86,117114,32,52,33
Basic Instinct 2,R,"Drama, Mystery & Suspense, Romance",2006-03-31,2006-07-11,117,Rotten,7,153,Spilled,26,89113,42,10,143
Ice Age 2: The Meltdown,PG,"Action & Adventure, Animation, Comedy, Documentary, Kids & Family",2006-03-31,2006-11-21,90,Rotten,57,144,Upright,71,854368,35,82,62
Slither,R,"Comedy, Horror, Science Fiction & Fantasy",2006-03-31,2006-10-24,96,Certified Fresh,86,139,Upright,63,102831,39,120,19
On a Clear Day,PG-13,"Comedy, Drama",2006-04-07,2006-07-11,92,Fresh,67,67,Upright,72,12456,28,45,22
The Benchwarmers,PG-13,Comedy,2006-04-07,2006-07-25,85,Rotten,11,70,Upright,64,421903,16,8,62
Friends With Money,R,"Art House & International, Comedy, Drama",2006-04-07,2006-08-29,88,Fresh,72,154,Spilled,40,77373,48,111,43
Lucky Number Slevin,R,"Drama, Mystery & Suspense",2006-04-07,2006-09-12,110,Rotten,51,154,Upright,87,336771,46,79,75
Phat Girlz,PG-13,"Comedy, Romance",2006-04-07,2006-08-22,99,Rotten,22,46,Upright,65,67230,15,10,36
Take the Lead,PG-13,"Drama, Musical & Performing Arts",2006-04-07,2006-08-29,108,Rotten,43,120,Upright,77,369461,36,52,68
Kinky Boots,PG-13,"Comedy, Drama",2006-04-08,2006-09-05,106,Rotten,56,107,Upright,74,72786,38,60,47
I Am A Sex Addict,R,"Art House & International, Comedy, Documentary, Drama, Special Interest",2006-04-12,2006-09-12,99,Fresh,63,32,Spilled,57,13941,15,20,12
Hard Candy,R,"Drama, Horror, Mystery & Suspense",2006-04-14,2006-09-19,104,Fresh,67,144,Upright,78,105867,41,97,47
La mujer de mi hermano,R,"Art House & International, Drama, Special Interest",2006-04-14,2006-07-25,91,Rotten,20,40,Spilled,59,22418,24,8,32
The Notorious Bettie Page,R,Drama,2006-04-14,2006-09-26,90,Rotten,56,133,Spilled,51,50088,48,75,58
Scary Movie 4,PG-13,Comedy,2006-04-14,2006-08-15,83,Rotten,35,127,Spilled,51,562290,28,45,82
The Wild,G,"Action & Adventure, Animation, Comedy, Kids & Family",2006-04-14,2006-09-12,82,Rotten,19,111,Spilled,36,215158,36,21,90
The Celestine Prophecy,PG,"Action & Adventure, Mystery & Suspense",2006-04-19,2006-12-19,99,Rotten,4,23,Spilled,53,19601,9,1,22
American Dreamz,PG-13,"Comedy, Drama",2006-04-21,2006-10-03,108,Rotten,38,182,Spilled,31,96075,48,69,113
Brick,R,"Action & Adventure, Drama, Horror, Mystery & Suspense",2006-04-21,2006-08-08,119,Certified Fresh,79,140,Upright,86,105620,38,111,29
The Sentinel,PG-13,"Drama, Mystery & Suspense",2006-04-21,2006-08-29,99,Rotten,34,134,Spilled,40,84554,38,45,89
Silent Hill,R,"Action & Adventure, Horror",2006-04-21,2006-08-22,125,Rotten,31,100,Upright,63,367014,22,31,69
Final Fantasy VII: Advent Children,PG-13,"Action & Adventure, Animation, Science Fiction & Fantasy",2006-04-25,2006-04-25,100,Rotten,33,6,Upright,84,149948,0,2,4
Civic Duty,R,"Drama, Mystery & Suspense",2006-04-26,2007-09-04,98,Rotten,57,56,Spilled,33,29705,25,32,24
Hatchet,R,Horror,2006-04-27,2007-12-18,84,Rotten,52,46,Spilled,45,13757,14,24,22
Akeelah and the Bee,PG,"Drama, Kids & Family",2006-04-28,2006-08-29,112,Certified Fresh,85,140,Upright,81,84680,35,119,21
RV,PG,"Action & Adventure, Comedy, Kids & Family",2006-04-28,2006-08-15,99,Rotten,23,122,Spilled,46,306137,36,28,94
Stick It,PG-13,"Comedy, Drama",2006-04-28,2006-09-19,103,Rotten,31,99,Upright,73,320948,30,31,68
United 93,R,"Action & Adventure, Drama",2006-04-28,2006-09-05,111,Certified Fresh,90,210,Upright,83,129248,48,189,21
An American Haunting,PG-13,"Horror, Mystery & Suspense",2006-05-05,2006-10-24,91,Rotten,13,69,Spilled,36,89096,20,9,60
Art School Confidential,R,"Comedy, Drama",2006-05-05,2006-10-10,102,Rotten,36,136,Spilled,48,44490,38,49,87
Down in the Valley,R,"Drama, Western, Romance",2006-05-05,2006-09-26,125,Rotten,52,101,Spilled,53,39348,37,53,48
Hoot,PG,"Comedy, Drama, Kids & Family",2006-05-05,2006-08-15,91,Rotten,26,98,Spilled,55,76429,32,25,73
Mission: Impossible III,PG-13,"Action & Adventure, Mystery & Suspense",2006-05-05,2006-10-30,127,Fresh,70,221,Upright,69,508783,51,155,66
One Last Thing,R,"Comedy, Drama",2006-05-05,2006-05-23,93,Rotten,11,9,Upright,61,21319,4,1,8
Just My Luck,PG-13,"Comedy, Drama, Romance",2006-05-12,2006-08-22,103,Rotten,14,111,Spilled,48,353718,36,15,96
Keeping Up With The Steins,PG-13,Comedy,2006-05-12,2006-10-31,99,Rotten,36,81,Spilled,38,90597,30,29,52
Poseidon,PG-13,"Action & Adventure, Drama",2006-05-12,2006-08-22,99,Rotten,33,201,Spilled,43,342047,47,66,135
Sketches of Frank Gehry,PG-13,"Documentary, Musical & Performing Arts",2006-05-12,2006-08-22,83,Certified Fresh,82,78,Upright,71,18938,34,64,14
New Police Story (San ging chaat goo si),R,"Action & Adventure, Art House & International, Drama",2006-05-16,2006-05-16,123,Rotten,50,8,Upright,76,19928,0,4,4
See No Evil,R,"Horror, Mystery & Suspense",2006-05-19,2006-11-28,84,Rotten,9,58,Spilled,50,116571,15,5,53
The Da Vinci Code,PG-13,"Action & Adventure, Drama, Mystery & Suspense",2006-05-19,2006-11-14,149,Rotten,25,228,Spilled,57,761284,49,57,171
Over the Hedge,PG,"Animation, Comedy, Kids & Family",2006-05-19,2006-10-17,84,Certified Fresh,75,170,Upright,71,543658,44,127,43
The King,R,Drama,2006-05-19,2006-10-10,105,Rotten,56,78,Upright,66,39815,30,44,34
An Inconvenient Truth,PG,"Documentary, Special Interest",2006-05-24,2006-11-21,100,Certified Fresh,93,163,Upright,79,119828,41,151,12
X-Men: The Last Stand,PG-13,"Action & Adventure, Science Fiction & Fantasy",2006-05-26,2006-10-03,87,Rotten,57,238,Upright,61,1074092,51,136,102
The Break-Up,PG-13,"Comedy, Drama, Romance",2006-06-01,2006-10-17,107,Rotten,34,191,Spilled,46,450300,47,65,126
District B13 (Banlieue 13),R,"Action & Adventure, Art House & International, Science Fiction & Fantasy",2006-06-02,2006-09-05,81,Certified Fresh,80,115,Upright,78,76183,35,92,23
Peaceful Warrior,PG-13,Drama,2006-06-02,2007-06-26,121,Rotten,25,72,Upright,76,43035,26,18,54
The Omen,R,"Horror, Mystery & Suspense",2006-06-06,2006-10-17,103,Rotten,26,167,Spilled,40,340345,41,44,123
Trailer Park Boys: The Movie,R,Comedy,2006-06-06,2008-04-22,95,Rotten,57,23,Upright,77,12621,9,13,10
Cars,G,"Action & Adventure, Animation, Comedy, Kids & Family",2006-06-09,2006-11-07,116,Certified Fresh,75,200,Upright,79,877830,48,149,51
A Prairie Home Companion,PG-13,Comedy,2006-06-09,2004-11-09,105,Certified Fresh,82,197,Spilled,59,84072,48,161,36
The Fast and the Furious: Tokyo Drift,PG-13,Action & Adventure,2006-06-16,2006-09-26,98,Rotten,38,136,Upright,69,535861,40,51,85
Garfield: A Tail of Two Kitties,PG,"Animation, Comedy, Kids & Family",2006-06-16,2006-10-10,78,Rotten,11,74,Spilled,43,105567,25,8,66
The Lake House,PG,"Drama, Romance",2006-06-16,2006-09-26,98,Rotten,36,154,Upright,73,429887,47,55,99
Loverboy,R,"Art House & International, Drama",2006-06-16,2006-09-26,86,Rotten,18,34,Spilled,36,21757,14,6,28
Nacho Libre,PG,"Comedy, Documentary, Kids & Family",2006-06-16,2006-10-24,100,Rotten,40,164,Spilled,54,417196,38,65,99
Wordplay,PG,"Documentary, Musical & Performing Arts, Special Interest",2006-06-16,2006-11-07,94,Certified Fresh,95,121,Upright,80,21557,40,115,6
The Science of Sleep,R,"Comedy, Drama, Science Fiction & Fantasy, Romance",2006-06-18,2007-02-05,106,Fresh,70,162,Upright,81,144352,45,113,49
Click,PG-13,"Comedy, Kids & Family",2006-06-23,2006-10-10,107,Rotten,33,170,Upright,66,874657,43,56,114
The Great New Wonderful,R,"Comedy, Drama",2006-06-23,2006-09-12,88,Fresh,73,41,Spilled,45,18687,16,30,11
The Hidden Blade,R,"Action & Adventure, Art House & International, Drama",2006-06-23,2006-08-08,131,Fresh,84,32,Upright,84,19070,10,27,5
The Road To Guantanamo,R,"Documentary, Drama",2006-06-23,2006-10-24,95,Certified Fresh,86,97,Upright,83,27047,34,83,14
Say Uncle,R,"Comedy, Drama, Gay & Lesbian",2006-06-23,2006-09-05,90,Rotten,17,18,Spilled,41,17579,8,3,15
Waist Deep,R,"Action & Adventure, Drama",2006-06-23,2006-10-10,97,Rotten,28,76,Upright,76,94149,29,21,55
Superman Returns,PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy",2006-06-28,2006-11-28,154,Certified Fresh,75,263,Upright,61,516925,52,197,66
Who Killed the Electric Car?,PG,"Documentary, Musical & Performing Arts",2006-06-28,2006-11-14,90,Certified Fresh,89,105,Upright,84,43176,37,93,12
The Devil Wears Prada,PG-13,"Comedy, Drama",2006-06-30,2006-12-12,110,Certified Fresh,75,193,Upright,76,571693,49,145,48
"Bon Cop, Bad Cop",R,"Action & Adventure, Comedy",2006-07-04,2008-05-13,116,Fresh,78,9,Upright,82,20397,2,7,2
Pirates of the Caribbean: Dead Man's Chest,PG-13,"Action & Adventure, Comedy, Science Fiction & Fantasy",2006-07-07,2006-12-05,151,Rotten,53,225,Upright,72,1847651,49,119,106
"You, Me and Dupree",PG-13,Comedy,2006-07-13,2006-11-21,109,Rotten,20,166,Spilled,50,448169,43,34,132
The Oh in Ohio,R,Comedy,2006-07-14,2006-12-05,91,Rotten,22,69,Spilled,35,18828,27,15,54
The Groomsmen,R,Comedy,2006-07-14,2006-11-16,98,Rotten,52,33,Spilled,44,18233,15,17,16
Leonard Cohen: I'm Your Man,PG-13,"Documentary, Musical & Performing Arts, Special Interest",2006-07-14,2006-11-14,103,Fresh,69,75,Upright,60,20807,35,52,23
Little Man,PG-13,Comedy,2006-07-14,2006-11-07,90,Rotten,12,90,Spilled,55,419431,29,11,79
Clerks II,R,"Comedy, Drama",2006-07-21,2006-11-28,97,Fresh,63,162,Upright,84,285761,40,102,60
Lady in the Water,PG-13,"Drama, Mystery & Suspense, Science Fiction & Fantasy",2006-07-21,2006-12-19,109,Rotten,25,212,Spilled,49,419547,49,53,159
Monster House,PG,"Action & Adventure, Animation, Kids & Family",2006-07-21,2006-10-24,91,Certified Fresh,75,161,Upright,63,199528,42,120,41
My Super Ex-Girlfriend,PG-13,"Comedy, Drama, Science Fiction & Fantasy",2006-07-21,2006-12-19,95,Rotten,40,130,Spilled,31,366715,38,52,78
Little Miss Sunshine,R,Comedy,2006-07-26,2006-12-19,110,Certified Fresh,91,214,Upright,91,426942,55,194,20
Another Gay Movie,R,"Comedy, Gay & Lesbian",2006-07-28,2006-11-21,94,Rotten,40,5,Upright,61,33352,2,2,3
The Ant Bully,PG,"Animation, Comedy, Drama, Kids & Family",2006-07-28,2006-11-28,89,Fresh,62,116,Spilled,42,88904,37,72,44
John Tucker Must Die,PG-13,"Comedy, Drama",2006-07-28,2006-11-14,89,Rotten,28,94,Upright,69,550885,32,26,68
Miami Vice,R,"Action & Adventure, Drama",2006-07-28,2006-12-05,132,Rotten,46,221,Spilled,43,360219,49,102,119
A Scanner Darkly,R,"Action & Adventure, Animation, Drama, Science Fiction & Fantasy",2006-07-28,2006-12-19,100,Fresh,67,184,Upright,74,140027,46,124,60
Scoop,PG-13,"Comedy, Mystery & Suspense, Romance",2006-07-28,2006-11-21,96,Rotten,41,150,Spilled,55,70180,41,61,89
Quinceañera,R,"Art House & International, Comedy, Drama",2006-08-02,2007-01-09,91,Certified Fresh,86,96,Upright,72,18331,37,83,13
Barnyard,PG,"Animation, Comedy, Kids & Family",2006-08-04,2006-12-12,90,Rotten,22,97,Spilled,52,120260,32,21,76
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,Comedy,2006-08-04,2007-03-06,83,Certified Fresh,91,219,Upright,79,1204572,50,199,20
The Descent,R,Horror,2006-08-04,2006-12-26,99,Certified Fresh,85,175,Upright,75,207279,38,149,26
Shock to the System: A Donald Strachey Mystery,R,"Drama, Mystery & Suspense, Gay & Lesbian",2006-08-04,2007-02-13,91,Rotten,50,8,Spilled,53,15542,5,4,4
Talladega Nights: The Ballad of Ricky Bobby,PG-13,"Action & Adventure, Comedy, Sports & Fitness",2006-08-04,2006-12-12,110,Certified Fresh,71,186,Upright,73,554366,47,132,54
The Night Listener,R,"Drama, Mystery & Suspense",2006-08-04,2007-01-09,81,Rotten,40,134,Spilled,35,92833,36,53,81
World Trade Center,PG-13,Drama,2006-08-09,2007-01-29,129,Fresh,67,232,Upright,60,363552,52,156,76
Half Nelson,R,Drama,2006-08-11,2007-04-24,87,Certified Fresh,90,157,Upright,82,56525,43,142,15
Pulse,PG-13,"Horror, Mystery & Suspense",2006-08-11,2006-12-05,85,Rotten,11,73,Spilled,27,83298,22,8,65
Step Up,PG-13,Drama,2006-08-11,2006-12-19,103,Rotten,20,105,Upright,83,615661,34,21,84
Zoom,PG,"Action & Adventure, Comedy, Kids & Family",2006-08-11,2007-09-02,88,Rotten,3,66,Spilled,33,11327,19,2,64
I'll Always Know What You Did Last Summer,R,"Horror, Mystery & Suspense",2006-08-15,2006-08-15,92,Rotten,0,6,Spilled,21,57370,0,0,6
10th & Wolf,R,Drama,2006-08-18,2006-09-19,108,Rotten,19,27,Spilled,52,17429,12,5,22
Accepted,PG-13,Comedy,2006-08-18,2006-11-14,93,Rotten,37,114,Upright,72,360654,32,42,72
Factotum,R,"Art House & International, Comedy, Drama",2006-08-18,2006-12-26,94,Certified Fresh,75,118,Upright,62,19662,36,89,29
The Illusionist,PG-13,"Drama, Science Fiction & Fantasy, Romance",2006-08-18,2007-01-09,109,Certified Fresh,73,191,Upright,83,417138,50,140,51
Material Girls,PG,"Comedy, Drama",2006-08-18,2006-12-12,98,Rotten,4,54,Spilled,44,229010,18,2,52
Snakes on a Plane,R,"Action & Adventure, Horror, Mystery & Suspense",2006-08-18,2007-01-02,106,Fresh,69,176,Spilled,49,463518,44,122,54
Trust the Man,R,"Comedy, Drama, Romance",2006-08-18,2007-02-06,128,Rotten,28,101,Spilled,35,25618,31,28,73
Beerfest,R,"Comedy, Sports & Fitness",2006-08-25,2006-12-05,112,Rotten,40,107,Upright,75,198817,32,43,64
How to Eat Fried Worms,PG,"Comedy, Kids & Family",2006-08-25,2006-12-05,83,Rotten,59,74,Spilled,47,48510,30,44,30
Idlewild,R,"Drama, Musical & Performing Arts",2006-08-25,2006-12-05,121,Rotten,47,130,Upright,66,27731,41,61,69
Invincible,PG,"Drama, Sports & Fitness",2006-08-25,2006-12-19,104,Fresh,72,134,Upright,73,87611,36,96,38
Reinas (Queens),R,"Art House & International, Comedy, Romance",2006-08-25,2006-12-05,107,Rotten,43,30,Upright,60,13155,18,13,17
The Quiet,R,"Art House & International, Drama, Mystery & Suspense",2006-08-25,2007-02-13,87,Rotten,21,94,Spilled,52,24763,28,20,74
Brother Bear 2,G,"Animation, Kids & Family",2006-08-29,2006-08-29,73,Rotten,50,8,Spilled,56,24353,0,4,4
Crank,R,"Action & Adventure, Comedy, Mystery & Suspense",2006-09-01,2007-01-09,87,Fresh,61,93,Upright,71,442840,21,57,36
Crossover,PG-13,"Action & Adventure, Drama",2006-09-01,2007-02-20,95,Rotten,2,64,Spilled,59,102531,25,1,63
Idiocracy,R,"Action & Adventure, Comedy, Science Fiction & Fantasy",2006-09-01,2007-01-09,104,Fresh,76,46,Upright,60,64867,9,35,11
Lassie,PG,"Action & Adventure, Kids & Family",2006-09-01,2006-11-14,100,Certified Fresh,93,68,Upright,64,48199,29,63,5
Riding Alone for Thousands of Miles,PG,"Art House & International, Drama",2006-09-01,2007-02-06,107,Certified Fresh,80,75,Upright,81,14223,24,60,15
Severance,R,"Comedy, Horror, Mystery & Suspense",2006-09-01,2007-09-18,96,Fresh,66,91,Upright,61,136069,34,60,31
The Wicker Man,PG-13,"Action & Adventure, Drama, Horror, Mystery & Suspense",2006-09-01,2006-12-19,106,Rotten,15,107,Spilled,17,88555,18,16,91
The Namesake,PG-13,Drama,2006-09-02,2007-11-27,122,Certified Fresh,86,133,Upright,79,64282,43,115,18
The Covenant,PG-13,"Horror, Mystery & Suspense",2006-09-08,2007-01-02,97,Rotten,4,73,Upright,62,399893,23,3,70
Hollywoodland,R,"Drama, Mystery & Suspense",2006-09-08,2007-02-06,126,Fresh,68,182,Spilled,48,77724,44,123,59
Penelope,PG-13,"Comedy, Drama, Science Fiction & Fantasy, Romance",2006-09-08,2008-07-15,90,Rotten,54,127,Upright,73,157007,34,68,59
Sherrybaby,R,Drama,2006-09-08,2007-01-23,96,Certified Fresh,75,67,Spilled,57,37564,24,50,17
Bella (Beauty),PG-13,"Art House & International, Drama, Romance",2006-09-09,2008-05-07,91,Rotten,42,64,Upright,81,20326,28,27,37
The Fall,R,"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",2006-09-09,2008-09-09,117,Fresh,61,108,Upright,85,103842,33,66,42
Black Sheep,R,"Comedy, Horror",2006-09-10,2007-10-09,87,Fresh,71,94,Spilled,53,42868,29,67,27
Bonneville,PG,"Comedy, Drama",2006-09-11,2008-07-08,102,Rotten,40,40,Spilled,43,28897,16,16,24
Beer League,R,Comedy,2006-09-15,2007-01-02,86,Rotten,27,15,Spilled,58,23979,8,4,11
The Black Dahlia,R,"Drama, Mystery & Suspense",2006-09-15,2006-12-26,121,Rotten,33,193,Spilled,27,97637,44,63,130
Confetti,R,"Comedy, Drama",2006-09-15,2007-03-06,100,Rotten,57,76,Spilled,48,20378,28,43,33
Everyone's Hero,G,"Action & Adventure, Animation, Comedy, Kids & Family",2006-09-15,2007-03-20,87,Rotten,42,69,Spilled,44,76595,27,29,40
Gridiron Gang,PG-13,"Action & Adventure, Drama",2006-09-15,2007-01-16,120,Rotten,42,100,Upright,81,286830,29,42,58
Jesus Camp,PG-13,"Documentary, Musical & Performing Arts, Faith & Spirituality",2006-09-15,2007-01-23,86,Certified Fresh,87,103,Upright,80,67553,30,90,13
The Last Kiss,R,"Comedy, Drama, Romance",2006-09-15,2006-12-26,104,Rotten,46,131,Spilled,59,96831,37,60,71
The Ground Truth,R,"Documentary, Drama, Special Interest",2006-09-15,2006-09-26,79,Certified Fresh,87,47,Upright,78,12475,17,41,6
All The King's Men,PG-13,Drama,2006-09-22,2006-12-19,128,Rotten,12,156,Spilled,40,92011,51,18,138
American Hardcore,R,"Documentary, Musical & Performing Arts",2006-09-22,2007-02-20,98,Certified Fresh,72,61,Upright,78,34885,23,44,17
Bandidas,PG-13,"Action & Adventure, Comedy, Western",2006-09-22,2007-01-09,93,Fresh,62,13,Spilled,43,24927,2,8,5
Jet Li's Fearless (Huo Yuan Jia) (Legend of a Fighter),PG-13,"Action & Adventure, Art House & International, Drama",2006-09-22,2006-12-19,105,Certified Fresh,73,110,Upright,86,141764,33,80,30
Feast,R,"Action & Adventure, Comedy, Horror",2006-09-22,2010-09-14,95,Rotten,57,54,Spilled,59,20748,12,31,23
Flyboys,PG-13,"Action & Adventure, Drama",2006-09-22,2007-01-30,140,Rotten,33,127,Upright,67,88477,33,42,85
Jackass: Number Two,R,"Comedy, Documentary",2006-09-22,2006-12-26,92,Fresh,63,101,Upright,80,436386,31,64,37
Renaissance,R,"Action & Adventure, Animation, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",2006-09-22,2007-07-24,105,Rotten,50,76,Spilled,59,26011,22,38,38
School for Scoundrels,PG-13,Comedy,2006-09-23,2007-02-13,101,Rotten,26,140,Spilled,52,107791,39,36,104
Bug,R,"Drama, Mystery & Suspense",2006-09-25,2007-09-25,102,Fresh,61,132,Spilled,34,356665,43,81,51
The Woods,R,"Horror, Mystery & Suspense",2006-09-26,2006-10-03,91,Fresh,71,14,Spilled,37,25325,0,10,4
The Last King of Scotland,R,Drama,2006-09-27,2007-04-17,123,Certified Fresh,87,184,Upright,89,257983,51,160,24
A Guide to Recognizing Your Saints,R,Drama,2006-09-29,2007-02-20,98,Certified Fresh,76,94,Upright,73,101420,35,71,23
Facing the Giants,PG,"Drama, Faith & Spirituality",2006-09-29,2007-01-30,111,Rotten,13,24,Upright,85,88206,6,3,21
Open Season,PG,"Action & Adventure, Animation, Comedy",2006-09-29,2007-01-30,83,Rotten,48,101,Spilled,57,468577,30,48,53
The Guardian,PG-13,"Action & Adventure, Drama",2006-09-29,2007-01-23,15,Rotten,37,147,Upright,80,423065,40,54,93
The U.S. vs. John Lennon,PG-13,"Documentary, Musical & Performing Arts",2006-09-29,2007-02-13,96,Certified Fresh,77,96,Upright,81,18376,35,74,22
Brothers of the Head,R,"Comedy, Drama, Musical & Performing Arts",2006-10-06,2006-11-14,92,Fresh,69,70,Upright,66,19384,24,48,22
The Departed,R,"Action & Adventure, Drama, Mystery & Suspense",2006-10-06,2007-02-13,152,Certified Fresh,91,277,Upright,94,737217,59,251,26
Employee of the Month,PG-13,"Comedy, Drama",2006-10-06,2007-01-16,108,Rotten,20,91,Spilled,53,422007,30,18,73
Little Children,R,"Comedy, Drama",2006-10-06,2007-05-01,136,Certified Fresh,80,161,Upright,82,95435,48,128,33
The Queen,PG-13,Drama,2006-10-06,2007-04-24,103,Certified Fresh,96,197,Upright,76,175549,51,190,7
The Texas Chainsaw Massacre: The Beginning,R,"Horror, Mystery & Suspense",2006-10-06,2007-01-16,84,Rotten,13,85,Spilled,53,491617,20,11,74
The Contract,R,"Drama, Mystery & Suspense",2006-10-09,2007-07-24,96,Rotten,0,5,Spilled,26,18928,0,0,5
Driving Lessons,PG-13,"Comedy, Drama",2006-10-13,2007-07-03,98,Rotten,48,75,Upright,71,194281,29,36,39
Alex Rider: Operation Stormbreaker,PG,"Action & Adventure, Kids & Family, Mystery & Suspense",2006-10-13,2007-05-22,92,Rotten,34,68,Spilled,53,93944,27,23,45
Behind the Mask: The Rise of Leslie Vernon,R,"Comedy, Horror, Kids & Family, Mystery & Suspense",2006-10-13,2004-07-06,91,Certified Fresh,76,42,Upright,75,15176,14,32,10
The Grudge 2,PG-13,"Horror, Mystery & Suspense",2006-10-13,2007-02-06,102,Rotten,12,76,Spilled,40,253374,22,9,67
Infamous,R,Drama,2006-10-13,2007-02-13,118,Fresh,73,152,Upright,69,20714,48,111,41
Man of the Year,PG,"Comedy, Television",2006-10-13,2007-02-20,115,Rotten,22,143,Spilled,45,203443,41,31,112
The Marine,PG-13,"Action & Adventure, Drama",2006-10-13,2007-01-30,92,Rotten,20,46,Upright,60,288969,15,9,37
Tideland,R,"Drama, Science Fiction & Fantasy",2006-10-13,2007-02-27,122,Rotten,31,78,Upright,64,45279,27,24,54
The Astronaut Farmer,PG,Drama,2006-10-15,2007-07-10,104,Rotten,58,136,Spilled,49,283584,35,79,57
Behind Enemy Lines II: Axis of Evil,R,"Action & Adventure, Mystery & Suspense",2006-10-17,2006-10-17,95,Rotten,0,5,Spilled,37,17805,1,0,5
Marie Antoinette,PG-13,"Documentary, Drama",2006-10-20,2007-02-13,123,Rotten,56,212,Spilled,56,262438,51,119,93
Flags of Our Fathers,R,"Action & Adventure, Drama",2006-10-20,2007-02-06,131,Certified Fresh,73,196,Upright,69,267924,50,143,53
Flicka,PG,"Drama, Kids & Family",2006-10-20,2007-02-06,95,Rotten,53,79,Upright,82,97124,27,42,37
The Prestige,PG-13,"Action & Adventure, Drama, Mystery & Suspense",2006-10-20,2007-02-20,130,Certified Fresh,76,197,Upright,92,550735,48,149,48
Running With Scissors,R,"Comedy, Drama",2006-10-20,2003-07-29,122,Rotten,31,132,Spilled,56,132764,42,41,91
The Ultimate Gift,PG,Drama,2006-10-20,2007-08-21,117,Rotten,32,59,Upright,84,40077,19,19,40
Cocaine Cowboys,R,Documentary,2006-10-27,2007-01-23,118,Fresh,69,51,Upright,79,77109,26,35,16
Babel,R,Drama,2006-10-27,2007-02-20,143,Fresh,69,199,Upright,77,377192,51,137,62
Catch a Fire,PG-13,"Drama, Musical & Performing Arts, Mystery & Suspense",2006-10-27,2007-01-30,102,Certified Fresh,75,146,Upright,71,28961,45,109,37
