movie_title,rating,genre,in_theaters_date,on_streaming_date,runtime_in_minutes,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
Fitzcarraldo,PG,"Action & Adventure, Art House & International, Drama",1982-03-04,1999-11-16,157,Fresh,78,27,Upright,93,12781,5,21,6
Victor Victoria,PG,"Comedy, Musical & Performing Arts, Romance",1982-03-16,2000-04-04,133,Fresh,97,30,Upright,86,16458,7,29,1
Cat People,R,"Drama, Horror, Mystery & Suspense",1982-04-02,2000-10-10,119,Fresh,61,46,Spilled,45,10326,7,28,18
The Long Good Friday,R,"Drama, Mystery & Suspense",1982-04-02,1998-12-01,109,Fresh,96,28,Upright,89,10445,9,27,1
Conan the Barbarian,R,"Action & Adventure, Science Fiction & Fantasy",1982-05-14,1998-02-24,121,Fresh,66,35,Upright,74,131245,5,23,12
Dead Men Don't Wear Plaid,PG,"Comedy, Mystery & Suspense",1982-05-21,1999-03-16,89,Fresh,79,24,Upright,72,10071,1,19,5
Mad Max 2: The Road Warrior,R,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",1982-05-21,1997-09-25,96,Certified Fresh,95,44,Upright,86,84356,7,42,2
Rocky III,PG,"Action & Adventure, Drama",1982-05-28,2003-03-18,99,Fresh,64,36,Upright,74,345364,6,23,13
Bad Boys,R,"Action & Adventure, Drama, Mystery & Suspense",1982-06-01,2000-03-15,123,Fresh,89,19,Upright,81,61564,4,17,2
Firefox,PG,"Action & Adventure, Drama, Science Fiction & Fantasy",1982-06-01,2002-10-01,136,Rotten,38,13,Spilled,41,16017,2,5,8
Poltergeist,PG,Horror,1982-06-04,2000-04-18,114,Certified Fresh,85,61,Upright,78,182197,8,52,9
Star Trek II: The Wrath of Khan,PG,"Action & Adventure, Science Fiction & Fantasy",1982-06-04,2000-07-11,113,Certified Fresh,87,54,Upright,90,85378,10,47,7
E.T. The Extra-Terrestrial,PG,"Kids & Family, Science Fiction & Fantasy",1982-06-11,2002-10-22,114,Certified Fresh,98,128,Upright,72,32314349,36,126,2
Annie,G,"Comedy, Kids & Family, Musical & Performing Arts",1982-06-18,2000-12-12,127,Rotten,56,27,Upright,69,365804,7,15,12
Blade Runner,R,"Drama, Science Fiction & Fantasy",1982-06-25,1997-08-27,114,Certified Fresh,89,113,Upright,91,337214,26,101,12
The Thing,R,"Horror, Science Fiction & Fantasy",1982-07-01,2001-08-28,109,Certified Fresh,84,62,Upright,92,131833,9,52,10
The Secret of NIMH,G,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",1982-07-02,2001-03-06,82,Fresh,96,26,Upright,85,56123,9,25,1
TRON,PG,"Action & Adventure, Science Fiction & Fantasy",1982-07-09,2002-01-15,96,Fresh,72,57,Upright,69,72511,6,41,16
The Best Little Whorehouse in Texas,R,"Comedy, Musical & Performing Arts, Romance",1982-07-23,2003-01-07,115,Rotten,56,9,Upright,68,15488,1,5,4
The World According to Garp,R,"Comedy, Drama, Romance",1982-07-23,2001-04-03,136,Fresh,75,16,Upright,79,20653,2,12,4
Fast Times At Ridgemont High,R,"Comedy, Drama",1982-08-13,2004-11-02,90,Certified Fresh,78,50,Upright,80,170762,8,39,11
Friday the 13th Part 3,R,"Horror, Mystery & Suspense",1982-08-13,2000-10-17,95,Rotten,12,26,Spilled,42,65631,2,3,23
The Beastmaster,PG,"Action & Adventure, Science Fiction & Fantasy",1982-08-20,2001-10-23,118,Rotten,46,13,Spilled,53,29357,0,6,7
Amityville II: The Possession,R,Horror,1982-09-24,2005-04-05,104,Rotten,11,19,Spilled,36,16768,2,2,17
First Blood,R,Action & Adventure,1982-10-01,2000-08-29,96,Certified Fresh,87,45,Upright,85,138979,8,39,6
Halloween III: Season of the Witch,R,"Horror, Science Fiction & Fantasy",1982-10-22,2004-08-31,99,Rotten,42,26,Spilled,27,52329,3,11,15
The Man from Snowy River,PG,"Art House & International, Drama, Kids & Family, Western, Romance",1982-11-03,2002-05-28,102,Fresh,83,12,Upright,89,26330,2,10,2
Creepshow,R,Horror,1982-11-12,2001-08-21,121,Fresh,73,37,Upright,68,39665,5,27,10
Tootsie,PG,"Comedy, Drama, Romance",1982-12-01,2001-05-29,119,Certified Fresh,90,49,Upright,81,58412,9,44,5
Gandhi,PG,"Classics, Drama",1982-12-06,2001-08-28,191,Certified Fresh,84,57,Upright,92,49750,9,48,9
48 HRS,R,"Action & Adventure, Comedy",1982-12-08,1999-01-26,96,Certified Fresh,93,40,Upright,69,75039,6,37,3
Sophie's Choice,R,"Drama, Romance",1982-12-08,1999-08-17,151,Fresh,76,33,Upright,85,21487,8,25,8
The Verdict,R,Drama,1982-12-08,2002-06-04,122,Fresh,90,31,Upright,88,10349,6,28,3
Airplane 2 - The Sequel,PG,Comedy,1982-12-10,2000-10-24,84,Rotten,42,19,Spilled,50,73942,2,8,11
The Toy,PG,Comedy,1982-12-10,2001-11-13,102,Rotten,9,11,Spilled,53,16450,1,1,10
The Dark Crystal,PG,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",1982-12-17,1999-10-05,93,Certified Fresh,79,47,Upright,81,176316,7,37,10
Fanny & Alexander,R,Drama,1982-12-17,2004-11-16,188,Fresh,100,35,Upright,94,21337,15,35,0
The King of Comedy,PG,"Comedy, Drama, Mystery & Suspense",1983-01-01,2002-12-17,109,Certified Fresh,88,58,Upright,90,26880,10,51,7
Flashdance,R,"Drama, Romance",1983-01-01,2002-10-08,94,Rotten,34,41,Upright,61,79114,7,14,27
The Man with Two Brains,R,"Comedy, Horror, Science Fiction & Fantasy",1983-01-01,1999-03-29,93,Fresh,76,21,Upright,64,32488,1,16,5
Sleepaway Camp,R,Horror,1983-01-01,2000-08-08,88,Fresh,82,22,Upright,60,17787,0,18,4
Sudden Impact,R,"Action & Adventure, Mystery & Suspense",1983-01-01,2001-11-20,117,Rotten,57,35,Spilled,54,21854,5,20,15
Videodrome,R,"Horror, Science Fiction & Fantasy",1983-02-04,1998-09-08,89,Certified Fresh,80,49,Upright,80,41121,6,39,10
10 to Midnight,R,"Action & Adventure, Drama, Mystery & Suspense",1983-03-11,2003-02-04,101,Rotten,33,9,Spilled,50,12363,1,3,6
The Outsiders,PG,Drama,1983-03-25,1999-11-30,92,Fresh,64,39,Upright,82,138293,10,25,14
Monty Python's The Meaning of Life,R,"Comedy, Musical & Performing Arts, Science Fiction & Fantasy",1983-03-31,2003-09-02,109,Fresh,86,35,Upright,83,202025,3,30,5
The Hunger,R,Horror,1983-04-29,2004-10-05,98,Rotten,52,31,Upright,66,12836,5,16,15
Still Smokin',R,"Comedy, Horror, Musical & Performing Arts",1983-05-05,2000-11-21,91,Rotten,11,9,Upright,65,39930,1,1,8
Star Wars: Episode VI - Return of the Jedi,PG,"Action & Adventure, Drama, Science Fiction & Fantasy",1983-05-25,2006-09-12,133,Certified Fresh,81,91,Upright,94,1011830,27,74,17
Christine,R,"Horror, Mystery & Suspense",1983-06-01,2004-09-28,105,Fresh,71,28,Upright,63,64501,6,20,8
Trading Places,R,Comedy,1983-06-01,2002-09-24,118,Certified Fresh,87,45,Upright,84,87573,9,39,6
Psycho II,R,"Horror, Mystery & Suspense",1983-06-03,1999-01-15,113,Rotten,59,34,Spilled,53,20023,6,20,14
WarGames (War Games),PG,"Action & Adventure, Drama, Mystery & Suspense",1983-06-03,1998-04-28,110,Certified Fresh,93,42,Upright,76,52579,7,39,3
Octopussy,PG,"Action & Adventure, Drama, Mystery & Suspense",1983-06-10,2000-10-17,131,Rotten,41,46,Spilled,47,61121,9,19,27
Superman III,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",1983-06-17,2001-05-01,125,Rotten,26,47,Spilled,23,167122,7,12,35
Twilight Zone: The Movie,PG,"Horror, Mystery & Suspense, Science Fiction & Fantasy",1983-06-24,2007-10-09,120,Rotten,58,38,Spilled,55,32541,7,22,16
